Osoba;Úspěšnost rozpoznání;Přiznaky;Hodnotící metoda
2101;100.00;MFCC12;DTW
2102;100.00;MFCC12;DTW
2103;97.50;MFCC12;DTW
2104;90.00;MFCC12;DTW
2105;100.00;MFCC12;DTW
2106;100.00;MFCC12;DTW
2109;97.50;MFCC12;DTW
2110;100.00;MFCC12;DTW
2111;75.00;MFCC12;DTW
2112;70.00;MFCC12;DTW
2201;95.00;MFCC12;DTW
2202;92.50;MFCC12;DTW
2203;82.50;MFCC12;DTW
2204;100.00;MFCC12;DTW
2206;87.50;MFCC12;DTW
2207;90.00;MFCC12;DTW
2502;87.50;MFCC12;DTW
