Osoba;Úspěšnost rozpoznání;Přiznaky;Hodnotící metoda
2101;70.00;frameSpec;DTW
2102;82.50;frameSpec;DTW
2103;67.50;frameSpec;DTW
2104;67.50;frameSpec;DTW
2105;57.50;frameSpec;DTW
2106;70.00;frameSpec;DTW
2109;70.00;frameSpec;DTW
2110;80.00;frameSpec;DTW
2111;47.50;frameSpec;DTW
2112;30.00;frameSpec;DTW
2201;22.50;frameSpec;DTW
2202;97.50;frameSpec;DTW
2203;62.50;frameSpec;DTW
2204;85.00;frameSpec;DTW
2206;50.00;frameSpec;DTW
2207;40.00;frameSpec;DTW
2502;50.00;frameSpec;DTW
